iter	Logloss
0	0.6487168248
1	0.6264579267
2	0.6046070308
3	0.5861699784
4	0.5701951306
5	0.5546437252
6	0.541136188
7	0.5160305324
8	0.498875078
9	0.4826367303
10	0.4749196249
11	0.4678044488
12	0.4612172781
13	0.4500264286
14	0.4397669063
15	0.4311381045
16	0.4264762637
17	0.4193382052
18	0.416895548
19	0.4093584837
20	0.405832997
21	0.4039346566
22	0.4014452032
23	0.399387822
24	0.3975359814
25	0.3956226368
26	0.3894931899
27	0.3876674081
28	0.3860065952
29	0.3827427738
30	0.3809610598
31	0.3787504325
32	0.3771440676
33	0.3759532381
34	0.3748337962
35	0.3736866564
36	0.3724164103
37	0.3712435577
38	0.3699060435
39	0.3690886994
40	0.3680468738
41	0.3668554046
42	0.3658030697
43	0.3646139948
44	0.3636500688
45	0.3628508163
46	0.3597950127
47	0.3590806332
48	0.358144773
49	0.3574006013
50	0.3548844812
51	0.3538647521
52	0.3530948017
53	0.3523037332
54	0.3515729152
55	0.3506211391
56	0.3499376915
57	0.3493608036
58	0.3477738614
59	0.3469151064
60	0.3464066188
61	0.3457956517
62	0.3451644753
63	0.344494664
64	0.3438125957
65	0.3433061858
66	0.3427365608
67	0.3421080589
68	0.3415838296
69	0.3410028652
70	0.3405231804
71	0.3398339864
72	0.3393742628
73	0.3387524009
74	0.3382987207
75	0.3378877855
76	0.3372020936
77	0.3349949447
78	0.3344795622
79	0.3339615315
80	0.333319851
81	0.3327986191
82	0.3325492288
83	0.3322043501
84	0.3318487004
85	0.3302460141
86	0.329631974
87	0.3292415783
88	0.3278775554
89	0.3274281373
90	0.3269390425
91	0.3265120872
92	0.3261120835
93	0.3255733034
94	0.3250877979
95	0.3246761623
96	0.3240823285
97	0.323735904
98	0.3232333501
99	0.322879587
100	0.3225339274
101	0.3221076073
102	0.3209425784
103	0.3205929811
104	0.3200124516
105	0.3194588945
106	0.3189898863
107	0.3185963566
108	0.3182393723
109	0.317919667
110	0.3176432328
111	0.3173357273
112	0.3171254801
113	0.3155575796
114	0.3152764419
115	0.3148377229
116	0.3144212365
117	0.3141186345
118	0.3138767954
119	0.3134123123
120	0.3130487609
121	0.3126425246
122	0.3121348557
123	0.3117603948
124	0.3115110578
125	0.3112621733
126	0.3110482387
127	0.3107281903
128	0.310338745
129	0.3099831374
130	0.3096942408
131	0.3091876174
132	0.3087961887
133	0.3084046677
134	0.3081130192
135	0.3078146033
136	0.307468254
137	0.3071237527
138	0.3066432439
139	0.3062589204
140	0.3060158477
141	0.3058092101
142	0.3055853644
143	0.3052111689
144	0.304836511
145	0.3046489843
146	0.304450287
147	0.3040574587
148	0.3036632831
149	0.30333671
150	0.3031017503
151	0.3028391269
152	0.3025369764
153	0.3022347838
154	0.3018223581
155	0.3016350324
156	0.30131753
157	0.3009148275
158	0.3004487433
159	0.3002126998
160	0.2999063281
161	0.2996173949
162	0.2994473969
163	0.2991243256
164	0.2988235059
165	0.2984768859
166	0.2983270624
167	0.2980265644
168	0.2977678446
169	0.2974226891
170	0.2972661879
171	0.2971315204
172	0.2968397451
173	0.296415523
174	0.2961245959
175	0.2959323263
176	0.2956890583
177	0.295265641
178	0.2950245018
179	0.2946238829
180	0.2942211194
181	0.2939700637
182	0.2937043257
183	0.293393035
184	0.2931279534
185	0.2929994751
186	0.292792245
187	0.2924523373
188	0.2922627155
189	0.2910633747
190	0.2908053921
191	0.2905951254
192	0.2903847965
193	0.2900590771
194	0.2898016297
195	0.2896626409
196	0.289425041
197	0.2891378365
198	0.2889783282
199	0.2885734809
